id,winner
257,Mumbai Indians
258,Royal Challengers Bangalore
259,Delhi Daredevils
260,Mumbai Indians
261,Rajasthan Royals
262,Chennai Super Kings
263,Royal Challengers Bangalore
264,Chennai Super Kings
265,Deccan Chargers
266,Kolkata Knight Riders
267,Rajasthan Royals
268,Royal Challengers Bangalore
269,Delhi Daredevils
270,Kolkata Knight Riders
271,Rajasthan Royals
272,Chennai Super Kings
273,Mumbai Indians
274,Kochi Tuskers Kerala
275,Kolkata Knight Riders
276,Chennai Super Kings
277,Mumbai Indians
278,Kochi Tuskers Kerala
279,Delhi Daredevils
280,Royal Challengers Bangalore
281,Kolkata Knight Riders
282,Mumbai Indians
283,Royal Challengers Bangalore
284,Pune Warriors
285,Chennai Super Kings
286,Pune Warriors
287,Kings XI Punjab
288,Royal Challengers Bangalore
289,Chennai Super Kings
290,Kings XI Punjab
291,Royal Challengers Bangalore
292,Deccan Chargers
293,Kings XI Punjab
294,Kochi Tuskers Kerala
295,Deccan Chargers
296,Kings XI Punjab
297,Chennai Super Kings
298,Kolkata Knight Riders
299,Rajasthan Royals
300,Deccan Chargers
301,0
302,Royal Challengers Bangalore
303,Mumbai Indians
304,Chennai Super Kings
305,Mumbai Indians
306,Royal Challengers Bangalore
307,Chennai Super Kings
308,Mumbai Indians
309,Delhi Daredevils
310,Pune Warriors
311,Rajasthan Royals
312,Royal Challengers Bangalore
313,Chennai Super Kings
314,Rajasthan Royals
315,Pune Warriors
316,Mumbai Indians
317,Kolkata Knight Riders
318,Delhi Daredevils
319,Mumbai Indians
320,Chennai Super Kings
321,Kings XI Punjab
322,Kolkata Knight Riders
323,Delhi Daredevils
324,Pune Warriors
325,Kings XI Punjab
326,Rajasthan Royals
327,Delhi Daredevils
328,Rajasthan Royals
329,Royal Challengers Bangalore
330,Kolkata Knight Riders
331,Delhi Daredevils
332,Chennai Super Kings
333,Royal Challengers Bangalore
334,Chennai Super Kings
335,Pune Warriors
336,Kings XI Punjab
337,Kolkata Knight Riders
338,Royal Challengers Bangalore
339,Delhi Daredevils
340,Mumbai Indians
341,Deccan Chargers
342,Delhi Daredevils
343,Kings XI Punjab
344,Kolkata Knight Riders
345,Delhi Daredevils
346,Mumbai Indians
347,Kolkata Knight Riders
348,Deccan Chargers
349,Delhi Daredevils
350,Kings XI Punjab
351,Mumbai Indians
352,Chennai Super Kings
353,Kolkata Knight Riders
354,Rajasthan Royals
355,Mumbai Indians
356,Royal Challengers Bangalore
357,Kolkata Knight Riders
358,Rajasthan Royals
359,Kings XI Punjab
360,Royal Challengers Bangalore
361,Chennai Super Kings
362,Royal Challengers Bangalore
363,Mumbai Indians
364,Chennai Super Kings
365,Rajasthan Royals
366,Kings XI Punjab
367,Mumbai Indians
368,Chennai Super Kings
369,Delhi Daredevils
370,Kolkata Knight Riders
371,Kings XI Punjab
372,Royal Challengers Bangalore
373,Deccan Chargers
374,Delhi Daredevils
375,Kolkata Knight Riders
376,Deccan Chargers
377,Mumbai Indians
378,Kolkata Knight Riders
379,Chennai Super Kings
380,Chennai Super Kings
381,Kolkata Knight Riders
382,Kolkata Knight Riders
383,Royal Challengers Bangalore
384,Sunrisers Hyderabad
385,Rajasthan Royals
386,Mumbai Indians
387,Kings XI Punjab
388,Sunrisers Hyderabad
389,Rajasthan Royals
390,Mumbai Indians
391,Chennai Super Kings
392,Royal Challengers Bangalore
393,Pune Warriors
394,Sunrisers Hyderabad
395,Mumbai Indians
396,Chennai Super Kings
397,Kolkata Knight Riders
398,Rajasthan Royals
399,Pune Warriors
400,Kings XI Punjab
401,Royal Challengers Bangalore
402,Sunrisers Hyderabad
403,Rajasthan Royals
404,Chennai Super Kings
405,Sunrisers Hyderabad
406,Chennai Super Kings
407,Royal Challengers Bangalore
408,Delhi Daredevils
409,Kings XI Punjab
410,Chennai Super Kings
411,Royal Challengers Bangalore
412,Kings XI Punjab
413,Mumbai Indians
414,Chennai Super Kings
415,Kolkata Knight Riders
416,Rajasthan Royals
417,Mumbai Indians
418,Chennai Super Kings
419,Delhi Daredevils
420,Rajasthan Royals
421,Mumbai Indians
422,Chennai Super Kings
423,Sunrisers Hyderabad
424,Delhi Daredevils
425,Chennai Super Kings
426,Royal Challengers Bangalore
427,Kolkata Knight Riders
428,Sunrisers Hyderabad
429,Kings XI Punjab
430,Mumbai Indians
431,Rajasthan Royals
432,Royal Challengers Bangalore
433,Rajasthan Royals
434,Mumbai Indians
435,Chennai Super Kings
436,Rajasthan Royals
437,Kolkata Knight Riders
438,Royal Challengers Bangalore
439,Mumbai Indians
440,Sunrisers Hyderabad
441,Kolkata Knight Riders
442,Rajasthan Royals
443,Kings XI Punjab
444,Mumbai Indians
445,Pune Warriors
446,Chennai Super Kings
447,Mumbai Indians
448,Kings XI Punjab
449,Sunrisers Hyderabad
450,Kings XI Punjab
451,Pune Warriors
452,Royal Challengers Bangalore
453,Sunrisers Hyderabad
454,Chennai Super Kings
455,Rajasthan Royals
456,Mumbai Indians
457,Mumbai Indians
458,Kolkata Knight Riders
459,Royal Challengers Bangalore
460,Kings XI Punjab
461,Rajasthan Royals
462,Royal Challengers Bangalore
463,Delhi Daredevils
464,Kings XI Punjab
465,Chennai Super Kings
466,Kings XI Punjab
467,Chennai Super Kings
468,Kolkata Knight Riders
469,Sunrisers Hyderabad
470,Chennai Super Kings
471,Rajasthan Royals
472,Kings XI Punjab
473,Delhi Daredevils
474,Chennai Super Kings
475,Kings XI Punjab
476,Rajasthan Royals
477,Sunrisers Hyderabad
478,Chennai Super Kings
479,Mumbai Indians
480,Rajasthan Royals
481,Royal Challengers Bangalore
482,Rajasthan Royals
483,Chennai Super Kings
484,Mumbai Indians
485,Kolkata Knight Riders
486,Kings XI Punjab
487,Sunrisers Hyderabad
488,Kings XI Punjab
489,Sunrisers Hyderabad
490,Chennai Super Kings
491,Kolkata Knight Riders
492,Rajasthan Royals
493,Mumbai Indians
494,Chennai Super Kings
495,Royal Challengers Bangalore
496,Kings XI Punjab
497,Kolkata Knight Riders
498,Rajasthan Royals
499,Royal Challengers Bangalore
500,Kolkata Knight Riders
501,Mumbai Indians
502,Kings XI Punjab
503,Sunrisers Hyderabad
504,Kolkata Knight Riders
505,Mumbai Indians
506,Kolkata Knight Riders
507,Sunrisers Hyderabad
508,Mumbai Indians
509,Kings XI Punjab
510,Chennai Super Kings
511,Kolkata Knight Riders
512,Kings XI Punjab
513,Mumbai Indians
514,Kolkata Knight Riders
515,Chennai Super Kings
516,Kings XI Punjab
517,Kolkata Knight Riders
518,Kolkata Knight Riders
519,Chennai Super Kings
520,Rajasthan Royals
521,Chennai Super Kings
522,Royal Challengers Bangalore
523,Rajasthan Royals
524,Kings XI Punjab
525,Sunrisers Hyderabad
526,Rajasthan Royals
527,Kolkata Knight Riders
528,Delhi Daredevils
529,Rajasthan Royals
530,Chennai Super Kings
531,Delhi Daredevils
532,Kolkata Knight Riders
533,Rajasthan Royals
534,Mumbai Indians
535,Kolkata Knight Riders
536,Kings XI Punjab
537,Sunrisers Hyderabad
538,Chennai Super Kings
539,Delhi Daredevils
540,Royal Challengers Bangalore
541,Mumbai Indians
542,Chennai Super Kings
543,Royal Challengers Bangalore
544,Sunrisers Hyderabad
545,Kolkata Knight Riders
546,0
547,Chennai Super Kings
548,Delhi Daredevils
549,Mumbai Indians
550,Royal Challengers Bangalore
551,Sunrisers Hyderabad
552,Mumbai Indians
553,Rajasthan Royals
554,Chennai Super Kings
555,Kolkata Knight Riders
556,Mumbai Indians
557,Royal Challengers Bangalore
558,Sunrisers Hyderabad
559,Mumbai Indians
560,Kolkata Knight Riders
561,Sunrisers Hyderabad
562,Royal Challengers Bangalore
563,Chennai Super Kings
564,Sunrisers Hyderabad
565,Delhi Daredevils
566,Kings XI Punjab
567,Mumbai Indians
568,Royal Challengers Bangalore
569,Chennai Super Kings
570,Rajasthan Royals
571,0
572,Mumbai Indians
573,Mumbai Indians
574,Royal Challengers Bangalore
575,Chennai Super Kings
576,Mumbai Indians
577,Rising Pune Supergiants
578,Kolkata Knight Riders
579,Gujarat Lions
580,Royal Challengers Bangalore
581,Mumbai Indians
582,Gujarat Lions
583,Delhi Daredevils
584,Kolkata Knight Riders
585,Gujarat Lions
586,Kings XI Punjab
587,Delhi Daredevils
588,Sunrisers Hyderabad
589,Kolkata Knight Riders
590,Mumbai Indians
591,Sunrisers Hyderabad
592,Royal Challengers Bangalore
593,Delhi Daredevils
594,Sunrisers Hyderabad
595,Gujarat Lions
596,Kolkata Knight Riders
597,Mumbai Indians
598,Rising Pune Supergiants
599,Gujarat Lions
600,Mumbai Indians
601,Gujarat Lions
602,Delhi Daredevils
603,Sunrisers Hyderabad
604,Kings XI Punjab
605,Mumbai Indians
606,Kolkata Knight Riders
607,Delhi Daredevils
608,Kolkata Knight Riders
609,Rising Pune Supergiants
610,Sunrisers Hyderabad
611,Royal Challengers Bangalore
612,Kings XI Punjab
613,Sunrisers Hyderabad
614,Gujarat Lions
615,Royal Challengers Bangalore
616,Sunrisers Hyderabad
617,Mumbai Indians
618,Delhi Daredevils
619,Kings XI Punjab
620,Royal Challengers Bangalore
621,Kolkata Knight Riders
622,Sunrisers Hyderabad
623,Mumbai Indians
624,Royal Challengers Bangalore
625,Rising Pune Supergiants
626,Royal Challengers Bangalore
627,Gujarat Lions
628,Delhi Daredevils
629,Rising Pune Supergiants
630,Gujarat Lions
631,Kolkata Knight Riders
632,Royal Challengers Bangalore
633,Royal Challengers Bangalore
634,Sunrisers Hyderabad
635,Sunrisers Hyderabad
636,Sunrisers Hyderabad
